NUM,NAME,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,OBP,SLG,AVG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA,year
88,?¾H §Ó °¶,13,30,27,0,1,3,3,0,0,0,3,14,0,0.2,0.111,0.111,0,0,0,2,1,0,0,5,5,1,0,0.25,114.11,2017
90,?Á§ ±© ¤¤,12,30,26,0,3,2,2,0,0,0,2,5,0,0.143,0.077,0.077,1,2,0,2,0,0,0,12,7,1.714,0,0.16,78.92,2017
91,?­S °ê ®f,11,43,38,7,5,16,13,1,0,2,23,6,1,0.488,0.605,0.421,1,0,0,4,0,1,0,11,5,2.2,1,1.261,519.05,2017
92,?ªL ¬F »õ,10,21,20,1,1,4,4,0,0,0,4,6,0,0.238,0.2,0.2,1,0,0,1,0,0,0,8,2,4,0,0.294,209,2017
92,?¤è Îë µú,10,19,16,1,0,1,1,0,0,0,1,10,0,0.167,0.063,0.062,1,1,0,2,0,0,0,2,3,0.667,0,0.188,68.5,2017
92,?§d °ê »¨,10,29,24,0,1,3,2,1,0,0,4,8,0,0.25,0.167,0.125,1,1,0,4,0,0,1,5,8,0.625,0,0.348,129,2017
95,?±i §Ó ±j,8,15,12,0,1,3,3,0,0,0,3,1,0,0.4,0.25,0.25,0,0,0,3,0,0,0,6,2,3,0,0.667,253,2017
95,?³¯ µq µM,8,15,15,1,3,2,0,2,0,0,4,5,0,0.133,0.267,0.133,0,0,0,0,0,0,0,4,4,1,0,0.308,142.33,2017
95,?¶¾ °· ®x,8,15,15,1,1,3,2,1,0,0,4,4,0,0.2,0.267,0.2,0,0,0,0,0,0,1,3,5,0.6,0,0.308,209,2017
98,?¬ö «~ §»,7,5,4,0,1,1,1,0,0,0,1,1,0,0.4,0.25,0.25,0,0,0,1,0,0,0,1,1,1,0,0.667,251,2017
98,?ªL «Â §U,7,16,15,0,1,2,2,0,0,0,2,3,0,0.188,0.133,0.133,0,0,0,1,0,0,0,5,5,1,0,0.231,135.33,2017
100,?§d ®å ºÍ,6,12,11,3,2,4,3,1,0,0,5,1,0,0.333,0.455,0.364,1,0,1,0,0,0,0,4,3,1.333,0,0.625,383.64,2017
100,?¹ù °· ´I,6,11,11,0,2,5,5,0,0,0,5,2,0,0.455,0.455,0.455,0,0,0,0,0,0,0,3,1,3,0,0.833,459.55,2017
102,?®} ¬F Ùy,5,9,9,1,1,1,1,0,0,0,1,6,0,0.111,0.111,0.111,0,0,0,0,0,0,0,0,2,0,0,0.125,117.11,2017
102,?ªL ®Ñ ¶h,5,16,12,0,2,3,2,1,0,0,4,4,0,0.438,0.333,0.25,0,0,0,4,0,0,0,4,1,4,0,0.889,254,2017
102,?±i «a §Ê,5,7,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2017
105,?¶À ´¼ °ö,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.667,0,0,0,2017
105,?§d ºÍ ³Ó,4,6,6,0,0,1,1,0,0,0,1,1,0,0.167,0.167,0.167,0,0,0,0,0,0,0,2,2,1,0,0.2,167.67,2017
107,?³¯ ¶­ ­·,3,10,10,2,2,1,1,0,0,0,1,1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,5,3,1.667,0,0.111,111,2017
107,?±i ÒR ªê,3,3,2,0,0,0,0,0,0,0,0,1,0,0.333,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,2017
107,?³¯ ¤å ªN,3,12,12,3,1,4,3,1,0,0,5,1,0,0.333,0.417,0.333,0,0,0,0,0,0,0,6,1,6,0,0.625,353.33,2017
110,?ªL¤ý±ÒÞ³,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
110,?¸³ ¤l ¯E,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017
112,?©¨ ªF µØ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017
