NUM,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F,year,team
79,?§d¥@»¨,5,4,1,0,0,0,1,0,0,0,0,22,1.14,1.64,85,368,17,2,8,0,0,17,1,0,5,4,17,26,0.654,2018,Fb
79,?ªL¬F½å,5,5,0,0,0,0,0,3,0,0,0,16.1,2.02,6.61,85,348,22,1,11,0,2,14,0,0,14,12,18,18,1,2018,Fb
79,?¼Ú®Ñ¸Û,5,0,5,0,0,0,0,0,0,1,0,5.1,2.06,3.38,24,104,6,0,5,0,0,3,0,0,2,2,4,4,1,2018,Fb
84,?³¢«í§µ,3,0,3,0,0,0,0,0,0,0,1,1.2,0,0,5,17,0,0,0,0,0,0,0,0,0,0,4,1,4,2018,Uni
84,?ªL¯è,3,0,3,0,0,0,0,0,0,1,0,0.1,9,0,4,15,3,0,0,0,0,0,0,0,0,0,0,1,0,2018,Uni
84,?¤ý«h¶v,3,2,1,0,0,0,1,2,0,0,0,5.2,2.82,9.53,34,127,8,1,8,0,0,5,0,0,10,6,7,6,1.167,2018,Bro
84,?¼B°aÓ¯,3,0,3,0,0,0,0,0,0,0,0,5.2,1.94,6.35,29,74,10,1,1,1,0,6,1,0,6,4,2,3,0.667,2018,Uni
88,?³¯³Í­Û,2,0,2,0,0,0,0,0,0,0,0,2,2.5,9,11,38,5,0,0,0,0,1,0,0,2,2,2,3,0.667,2018,Fb
88,?ªL¶hµ¾,2,0,2,0,0,0,0,0,0,0,0,2,4,22.5,14,51,6,2,2,0,0,1,1,0,5,5,1,4,0.25,2018,Lmg
88,?§d½«÷~,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,3,0,0,0,0,0,1,1,0,0,0,2018,Bro
88,?´å©v¾§,2,0,2,0,0,0,0,0,0,0,0,1,5,36,9,42,3,1,2,0,1,0,1,0,4,4,0,3,0,2018,Lmg
92,?¼ï«Â­Û,1,1,0,0,0,0,0,0,0,0,0,6,1.83,7.5,27,79,11,1,0,0,0,1,0,0,6,5,7,8,0.875,2018,Uni
92,?¤ý±ê¦w,1,0,1,0,0,0,0,0,0,0,0,1,1,0,4,24,1,0,0,0,0,0,0,0,0,0,0,3,0,2018,Bro
92,?¸­®a²N,1,1,0,0,0,0,0,1,0,0,0,3.2,4.09,22.09,26,108,9,0,6,0,0,2,0,0,9,9,2,6,0.333,2018,Lmg
92,?±i©úµ¾,1,0,1,0,0,0,0,1,0,0,0,3,1.33,6,12,38,2,0,2,0,0,1,0,0,2,2,0,0,0,2018,Lmg
